s,match_i,ed,ed_dot,efai,efai_dot,project_curv,ego_x,ego_y
29.8615,299,0.399851,-0.0228762,-0.00600182,-0.233256,0.0304215,16.2492,183.998
29.8615,299,0.399851,-0.0228762,-0.00600182,-0.233256,0.0304215,16.2492,183.998
30.2464,302,0.412475,-0.0228499,-0.00597609,-0.234267,0.0304215,15.8838,183.888
30.2464,302,0.412475,-0.0228499,-0.00597609,-0.234267,0.0304215,15.8838,183.888
30.6355,306,0.425147,-0.0231256,-0.00599042,-0.236589,0.0304215,15.517,183.774
30.6355,306,0.425147,-0.0231256,-0.00599042,-0.236589,0.0304215,15.517,183.774
31.0289,310,0.437932,-0.0235347,-0.00602704,-0.239248,0.0304215,15.1477,183.653
31.0289,310,0.437932,-0.0235347,-0.00602704,-0.239248,0.0304215,15.1477,183.653
31.4249,314,0.450724,-0.0236721,-0.00608057,-0.238195,0.0304215,14.7776,183.528
31.4249,314,0.450724,-0.0236721,-0.00608057,-0.238195,0.0304215,14.7776,183.528
31.8161,318,0.463371,-0.0235117,-0.00612037,-0.235535,0.0304215,14.4136,183.4
31.8161,318,0.463371,-0.0235117,-0.00612037,-0.235535,0.0304215,14.4136,183.4
32.206,322,0.476017,-0.0236488,-0.00613782,-0.236519,0.0304215,14.0526,183.268
32.206,322,0.476017,-0.0236488,-0.00613782,-0.236519,0.0304215,14.0526,183.268
32.5988,326,0.488734,-0.0239516,-0.00615833,-0.238817,0.0304215,13.6906,183.131
32.5988,326,0.488734,-0.0239516,-0.00615833,-0.238817,0.0304215,13.6906,183.131
32.9958,330,0.501558,-0.024385,-0.00619994,-0.241454,0.0304215,13.3265,182.988
32.9958,330,0.501558,-0.024385,-0.00619994,-0.241454,0.0304215,13.3265,182.988
33.3954,334,0.514433,-0.0245222,-0.00625483,-0.240418,0.0304215,12.9619,182.839
33.3954,334,0.514433,-0.0245222,-0.00625483,-0.240418,0.0304215,12.9619,182.839
33.7901,338,0.527163,-0.0243492,-0.00629442,-0.237693,0.0304215,12.6038,182.689
33.7901,338,0.527163,-0.0243492,-0.00629442,-0.237693,0.0304215,12.6038,182.689
34.1834,342,0.53988,-0.0244782,-0.00631013,-0.238654,0.0304215,12.2489,182.534
34.1834,342,0.53988,-0.0244782,-0.00631013,-0.238654,0.0304215,12.2489,182.534
34.5795,346,0.552662,-0.0247769,-0.006329,-0.240927,0.0304215,11.8935,182.374
34.5795,346,0.552662,-0.0247769,-0.006329,-0.240927,0.0304215,11.8935,182.374
34.9799,350,0.565538,-0.0252086,-0.00636854,-0.243539,0.0304215,11.5363,182.209
34.9799,350,0.565538,-0.0252086,-0.00636854,-0.243539,0.0304215,11.5363,182.209
35.3827,354,0.578423,-0.0253297,-0.00642084,-0.242473,0.0304215,11.1791,182.038
35.3827,354,0.578423,-0.0253297,-0.00642084,-0.242473,0.0304215,11.1791,182.038
35.7806,358,0.59119,-0.0251404,-0.00645944,-0.239676,0.0304215,10.8286,181.865
35.7806,358,0.59119,-0.0251404,-0.00645944,-0.239676,0.0304215,10.8286,181.865
36.177,362,0.603886,-0.0252624,-0.00647369,-0.240607,0.0304215,10.4816,181.688
36.177,362,0.603886,-0.0252624,-0.00647369,-0.240607,0.0304215,10.4816,181.688
36.5762,366,0.616702,-0.0255578,-0.00649065,-0.242855,0.0304215,10.1345,181.506
36.5762,366,0.616702,-0.0255578,-0.00649065,-0.242855,0.0304215,10.1345,181.506
36.9796,370,0.629616,-0.0259863,-0.0065283,-0.245445,0.0304215,9.78606,181.318
