s,match_i,ed,ed_dot,efai,efai_dot,project_curv,ego_x,ego_y
28.6863,287,0.312468,-0.038055,-0.00994119,-0.234011,0.0304215,17.3592,184.353
28.6863,287,0.312468,-0.038055,-0.00994119,-0.234011,0.0304215,17.3592,184.353
29.0752,291,0.323621,-0.038576,-0.00995984,-0.236588,0.0304215,16.9861,184.257
29.0752,291,0.323621,-0.038576,-0.00995984,-0.236588,0.0304215,16.9861,184.257
29.4667,295,0.334825,-0.0386089,-0.00999619,-0.235619,0.0304215,16.6117,184.156
29.4667,295,0.334825,-0.0386089,-0.00999619,-0.235619,0.0304215,16.6117,184.156
29.8536,299,0.34591,-0.0381758,-0.0100156,-0.233029,0.0304215,16.2433,184.052
29.8536,299,0.34591,-0.0381758,-0.0100156,-0.233029,0.0304215,16.2433,184.052
30.2381,302,0.356995,-0.0381434,-0.00997552,-0.234082,0.0304215,15.8774,183.944
30.2381,302,0.356995,-0.0381434,-0.00997552,-0.234082,0.0304215,15.8774,183.944
30.6266,306,0.368139,-0.038502,-0.00997322,-0.23637,0.0304215,15.5102,183.831
30.6266,306,0.368139,-0.038502,-0.00997322,-0.23637,0.0304215,15.5102,183.831
31.0193,310,0.379382,-0.0390438,-0.00999855,-0.238932,0.0304215,15.1404,183.712
31.0193,310,0.379382,-0.0390438,-0.00999855,-0.238932,0.0304215,15.1404,183.712
31.4147,314,0.390616,-0.0390963,-0.0100421,-0.237873,0.0304215,14.7696,183.589
31.4147,314,0.390616,-0.0390963,-0.0100421,-0.237873,0.0304215,14.7696,183.589
31.8052,318,0.401751,-0.0386831,-0.0100691,-0.235243,0.0304215,14.4051,183.462
31.8052,318,0.401751,-0.0386831,-0.0100691,-0.235243,0.0304215,14.4051,183.462
32.1944,322,0.412875,-0.0387936,-0.0100681,-0.236268,0.0304215,14.0435,183.332
32.1944,322,0.412875,-0.0387936,-0.0100681,-0.236268,0.0304215,14.0435,183.332
32.5865,326,0.424099,-0.0391721,-0.0100718,-0.238531,0.0304215,13.681,183.196
32.5865,326,0.424099,-0.0391721,-0.0100718,-0.238531,0.0304215,13.681,183.196
32.9828,330,0.435385,-0.0397354,-0.0101024,-0.24107,0.0304215,13.3162,183.054
32.9828,330,0.435385,-0.0397354,-0.0101024,-0.24107,0.0304215,13.3162,183.054
33.3816,334,0.446676,-0.0397921,-0.0101492,-0.240021,0.0304215,12.9509,182.908
33.3816,334,0.446676,-0.0397921,-0.0101492,-0.240021,0.0304215,12.9509,182.908
33.7755,338,0.457873,-0.0393702,-0.0101773,-0.237325,0.0304215,12.5922,182.759
33.7755,338,0.457873,-0.0393702,-0.0101773,-0.237325,0.0304215,12.5922,182.759
